Date,Sales
01/01/2012,266
02/01/2012,145.9
03/01/2012,183.1
04/01/2012,119.3
05/01/2012,180.3
06/01/2012,168.5
07/01/2012,231.8
08/01/2012,224.5
09/01/2012,192.8
10/01/2012,122.9
11/01/2012,336.5
12/01/2012,185.9
13/01/2012,194.3
14/01/2012,149.5
15/01/2012,210.1
16/01/2012,273.3
17/01/2012,191.4
18/01/2012,287
19/01/2012,226
20/01/2012,303.6
21/01/2012,289.9
22/01/2012,421.6
23/01/2012,264.5
24/01/2012,342.3
25/01/2012,339.7
26/01/2012,440.4
27/01/2012,315.9
28/01/2012,439.3
29/01/2012,401.3
30/01/2012,437.4
31/01/2012,575.5
01/02/2012,407.6
02/02/2012,682
03/02/2012,475.3
04/02/2012,581.3
01/12/2014,646.9
01/01/2015, 
01/02/2015,ciao
